name,Location,Room_Type,Bed,Price,tax,Reviews,link
Hotel Vista International,Mathura,Double Room,1 king bed,"₹ 1,008",+₹ 121 taxes and fees,Scored 10,https://www.booking.comhttps://www.booking.com/hotel/in/vista-international.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1200400601_392403426_1_0_0&highlighted_blocks=1200400601_392403426_1_0_0&matching_block_id=1200400601_392403426_1_0_0&sr_pri_blocks=1200400601_392403426_1_0_0__100800&from=searchresults#hotelTmpl
Manali Castle - Wonder Hill,"Aleo, Manāli",Deluxe Room,1 queen bed,"₹ 4,800",+₹ 576 taxes and fees,Scored 8.2,https://www.booking.comhttps://www.booking.com/hotel/in/chandrmukhi-appartments-manali.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1142201203_387059636_2_42_0&highlighted_blocks=1142201203_387059636_2_42_0&matching_block_id=1142201203_387059636_2_42_0&sr_pri_blocks=1142201203_387059636_2_42_0__480000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Shesha KUTEERA,Subrahmanya,Standard Double Room with Fan,1 king bed,"₹ 1,980",+₹ 238 taxes and fees,Scored 8.5,https://www.booking.comhttps://www.booking.com/hotel/in/shesha-kuteera.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=308811310_112557619_0_0_0&highlighted_blocks=308811310_112557619_0_0_0&matching_block_id=308811310_112557619_0_0_0&sr_pri_blocks=308811310_112557619_0_0_0__198000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Wabi Sabi Resort, Igatpuri",Igatpuri,Villa with Private Pool,Entire villa • 1 bedroom • 1 bathroom • 14m²1 king bed,"₹ 4,050",+₹ 486 taxes and fees,Scored 9.6,https://www.booking.comhttps://www.booking.com/hotel/in/wabi-sabi-resort-nashik.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1102123304_383018444_0_2_0&highlighted_blocks=1102123304_383018444_0_2_0&matching_block_id=1102123304_383018444_0_2_0&sr_pri_blocks=1102123304_383018444_0_2_0__405000&from=searchresults#hotelTmpl
The Kalinga Resort Manali - Heaven In Mountains,Manāli,Deluxe Double Room,1 queen bed,"₹ 2,300",+₹ 276 taxes and fees,Scored 8.0,https://www.booking.comhttps://www.booking.com/hotel/in/red-rose-manali.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1143908702_387244797_2_42_0&highlighted_blocks=1143908702_387244797_2_42_0&matching_block_id=1143908702_387244797_2_42_0&sr_pri_blocks=1143908702_387244797_2_42_0__230000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Zulu Land cottages - near Curlies beach shack and shiva valley - Anjuna beach,"Anjuna Beach, Anjuna",Cottage with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 33m²1 queen bed,"₹ 2,416",+₹ 290 taxes and fees,Scored 7.9,https://www.booking.comhttps://www.booking.com/hotel/in/oyo-14197-curlies-zulu-land-cottages-goa12.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=432809403_230416213_1_41_0&highlighted_blocks=432809403_230416213_1_41_0&matching_block_id=432809403_230416213_1_41_0&sr_pri_blocks=432809403_230416213_1_41_0__241632&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Golden Retreat,Baharampur,Deluxe Double Room,"2 beds (1 twin, 1 full)","₹ 3,325",+₹ 399 taxes and fees,Scored 8.8,https://www.booking.comhttps://www.booking.com/hotel/in/the-golden-retreat.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=898500004_368705284_1_41_0&highlighted_blocks=898500004_368705284_1_41_0&matching_block_id=898500004_368705284_1_41_0&sr_pri_blocks=898500004_368705284_1_41_0__332500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel JB Residency !! Luxurious & Royal Balcony Rooms !! Large Rooms,Zirakpur,Deluxe Room,1 king bed,"₹ 1,037",+₹ 124 taxes and fees,Scored 7.6,https://www.booking.comhttps://www.booking.com/hotel/in/comfort-zirakpur.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=1059018201_378151439_1_2_0&highlighted_blocks=1059018201_378151439_1_2_0&matching_block_id=1059018201_378151439_1_2_0&sr_pri_blocks=1059018201_378151439_1_2_0__103680&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
BHILVA INN,Warangal,Classic Triple Room,1 queen bed,"₹ 1,191",+₹ 160 taxes and fees,Scored 7.6,https://www.booking.comhttps://www.booking.com/hotel/in/oyo-flagship-81066-belvia-inn.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=993292502_375711329_1_0_0&highlighted_blocks=993292502_375711329_1_0_0&matching_block_id=993292502_375711329_1_0_0&sr_pri_blocks=993292502_375711329_1_0_0__119107&from=searchresults#hotelTmpl
The Sky Imperial Hotel Sugam - 10 Meters from Shrinathji Temple,Nāthdwāra,Deluxe Double Room,1 queen bed,"₹ 2,870",+₹ 344 taxes and fees,Scored 8.2,https://www.booking.comhttps://www.booking.com/hotel/in/the-sky-imperial-sugam.html?label=gen173rf-1FCAEiBWhvdGVsKIICOOgHSDNYA2hsiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBogIQc2VhcmNoLmJyYXZlLmNvbagCA7gCgrKdsgbAAgHSAiRhMjBjNzY2NS0xNDJiLTQ0OTAtOTExOS1iZjM1YTZjMjQxNjjYAgXgAgE&sid=ba5493355b758883a61f8556fe47c06a&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-22&checkout=2024-05-23&dest_id=98&dest_type=country&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7c9f72da3a4f01a5&srepoch=1716394963&all_sr_blocks=938933501_366144341_2_9_0&highlighted_blocks=938933501_366144341_2_9_0&matching_block_id=938933501_366144341_2_9_0&sr_pri_blocks=938933501_366144341_2_9_0__287000&from=searchresults#hotelTmpl
