Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice
58,Gekkeikan Black & Gold Sake,750mL,288,3741.12,12.99
60,Canadian Club 1858 VAP,750mL,124,1358.76,10.95774193548387
61,Margaritaville Silver,750mL,24,335.76,13.99
62,Herradura Silver Tequila,750mL,162,6552.38,40.44679012345679
63,Herradura Reposado Tequila,750mL,131,5552.6900000000005,42.3869465648855
72,No. 3 London Dry Gin,750mL,19,739.8100000000001,38.93736842105263
75,Three Olives Tomato Vodka,750mL,3,44.97,14.99
77,Three Olives Espresso Vodka,750mL,908,11892.92,13.097929515418503
79,Three Olives Loopy Vodka,750mL,416,6235.84,14.99
82,Hundred Acre Ark Vy Cab Svgn,750mL,3,1124.97,374.99
86,Don Julio Real Tequila,750mL,1,299.99,299.99
100,Chivas Royal Salute,750mL,7,1119.93,159.99
104,Mr Boston Wild Cherry Brandy,Liter,19,167.01,8.79
105,Mr Boston Butterscotch,Liter,1,4.49,4.49
106,Mr Boston Peach Schnapps,Liter,141,633.09,4.49
108,Mr Boston Peppermint Schnaps,Liter,13,84.37,6.49
109,Mr Boston Blue Curacao,Liter,29,188.21,6.49
111,Mr Boston Creme de Menthe Gr,Liter,13,84.37,6.49
112,Mr Boston Cr de Cacao White,Liter,23,149.27,6.49
113,Mr Boston Cr de Cacao Brown,Liter,16,103.84,6.49
114,Mr Boston Creme de Banana,Liter,24,155.76,6.489999999999999
115,Belvedere Vodka,Liter,623,17437.77,27.990000000000002
116,Voli Lyte French Vodka,750mL,9,134.91,14.99
117,Vermont Gold Vodka,750mL,13,454.87,34.99
120,Tarantula Azul Tequila Gift,750mL,30,419.7,13.99
122,DeKuyper Mixed Berry Medley,750mL,4,43.96,10.99
123,Van Winkle Special Rsv 10 Yr,750mL,2,99.98,49.99
126,Grey Goose Vodka,Liter,1968,63796.32,32.41682926829268
129,Grey Goose L'Orange Vodka,Liter,1,31.99,31.99
143,Chivas Regal,Liter,1,38.99,38.99
148,Smirnoff Green Apple Vodka,Liter,1,14.49,14.49
150,Smirnoff Strawberry Vodka,Liter,1,14.49,14.49
151,Pirassununga Cachaca 51 Rum,Liter,1,15.99,15.99
159,Glenmorangie Original VAP,750mL + 2/,131,5402.6900000000005,41.24190839694657
161,DeKuyper Pineapple,Liter,8,103.92,12.99
162,Stolichnaya Vanil,Liter,98,2413.02,24.62265306122449
165,Gentleman Jack Gift Pack,750mL,7,209.92999999999998,29.99
168,Three Olives Strawberry,750mL,264,3165.36,11.99
171,Gentleman Jack,1.75L,510,25694.9,50.3821568627451
172,Wild Turkey 101 Gift Pak,750mL,1,23.99,23.99
173,Hornitos Reposado VAP,750mL,29,604.7099999999999,20.85206896551724
174,Sauza Silver VAP,750mL,3,44.97,14.99
175,1800 Anejo Tequila,750mL,72,3023.28,41.99
178,Wild Turkey Russell's RSV,750mL,149,4346.509999999999,29.17120805369127
184,Hornitos Plata VAP,750mL,50,1199.5,23.99
187,Capt Morgan ParrotBay Pineap,Liter,12,179.88,14.99
188,Capt Morgan Parrot Bay Mango,Liter,12,179.88,14.99
189,Leroux Apple Schnapps,Liter,2,14.98,7.49
190,Christian Bros Ruby Port,750mL,96,411.84,4.29
192,Milagro Anejo Tequila,750mL,66,2528.34,38.30818181818182
194,Yazi Ginger Vodka,750mL,3,89.97,29.99
199,Wisdom & Warter Cream Sherry,750mL,7,34.93,4.99
200,Luxardo Maraschino Liqueur,750mL,38,1139.62,29.99
201,Nassua Royale Liqueur,Liter,2,38.98,19.49
