VendorName,Dollars,Freight,TotalCost
AAPER ALCOHOL & CHEMICAL CO,105.07,0.48,105.55
ADAMBA IMPORTS INTL INC    ,76770.25,367.52,77137.77
ALISA CARR BEVERAGES           ,34951.68,172.0,35123.68
ALTAMAR BRANDS LLC         ,11706.199999999999,62.39,11768.589999999998
AMERICAN SPIRITS EXCHANGE  ,1205.16,6.1899999999999995,1211.3500000000001
AMERICAN VINTAGE BEVERAGE  ,156357.28,793.91,157151.19
APPOLO VINEYARDS LLC       ,2399.7,12.280000000000001,2411.98
ATLANTIC IMPORTING COMPANY ,41116.32,211.74,41328.06
BACARDI USA INC            ,17624378.72,89286.27,17713664.99
BANFI PRODUCTS CORP        ,1628866.68,8510.41,1637377.0899999999
BLACK COVE BEVERAGES       ,14465.060000000001,74.84,14539.900000000001
BLACK PRINCE DISTILLERY INC,5971.94,30.98,6002.919999999999
BLACK ROCK SPIRITS LLC     ,1152.1,5.79,1157.8899999999999
BRONCO WINE COMPANY        ,2071.9,10.53,2082.4300000000003
BROWN-FORMAN CORP          ,13529433.08,68601.68,13598034.76
BULLY BOY DISTILLERS       ,117928.22,609.39,118537.61
CALEDONIA SPIRITS INC      ,259604.7,1319.77,260924.47
CAMPARI AMERICA            ,4141720.71,20964.81,4162685.52
CANDIA VINEYARDS           ,36588.01,194.13,36782.14
CAPSTONE INTERNATIONAL     ,54.64,0.27,54.910000000000004
CASTLE BRANDS CORP.        ,1679383.91,8497.59,1687881.5
CENTEUR IMPORTS LLC        ,6237.08,31.5,6268.58
CHARLES JACQUIN ET CIE INC ,329637.62,1675.3899999999999,331313.01
CONSTELLATION BRANDS INC   ,15573917.9,79528.99,15653446.89
CRUSH WINES                ,287189.9,1457.73,288647.63
Circa Wines                ,42554.340000000004,211.97,42766.310000000005
DELICATO VINEYARDS INC     ,1561444.63,7982.65,1569427.2799999998
DIAGEO CHATEAU ESTATE WINES,1365472.83,7259.75,1372732.58
DIAGEO NORTH AMERICA INC   ,50959796.85,257032.07,51216828.92
DISARONNO INTERNATIONAL LLC,1141947.85,5861.03,1147808.8800000001
DJINN SPIRITS LLC          ,48830.78,251.28,49082.06
DUGGANS DISTILLED PRODUCTS ,184296.5,939.27,185235.77
Dunn Wine Brokers          ,72055.3,358.03000000000003,72413.33
E & J GALLO WINERY         ,12289608.09,61966.91,12351575.0
EDRINGTON AMERICAS         ,1882832.84,9654.5,1892487.34
FABRIZIA SPIRITS LLC       ,358390.62,1824.8899999999999,360215.51
FANTASY FINE WINES CORP    ,128.64,0.61,129.25
FLAG HILL WINERY & VINEYARD,300403.2,1573.31,301976.51
FLAVOR ESSENCE INC         ,17.0,0.09,17.09
FORTUNE WINE BROKERS LLC   ,46940.17,238.61,47178.78
FREDERICK WILDMAN & SONS   ,759449.24,3999.93,763449.17
FULCHINO VINEYARD INC      ,11147.77,54.91,11202.68
GILMANTON WINERY & VINEYARD,5393.04,26.63,5419.67
HAUNTING WHISPER VYDS      ,5388.58,27.61,5416.19
HEAVEN HILL DISTILLERIES   ,2816661.94,14069.87,2830731.81
HIGHLAND WINE MERCHANTS LLC,5500.320000000001,29.43,5529.750000000001
"HOOD RIVER DISTILLERS, Inc.",24035.96,117.52000000000001,24153.48
INCREDIBREW INC            ,24525.84,124.44,24650.28
"IRA GOLDMAN AND WILLIAMS, LLP          ",5630.88,27.08,5657.96
JEWELL TOWNE VINEYARDS     ,54332.37,283.61,54615.98
JIM BEAM BRANDS COMPANY    ,24203151.05,123880.97,24327032.02
KLIN SPIRITS LLC           ,103484.29,531.5,104015.79
KOBRAND CORPORATION        ,1808146.33,9139.380000000001,1817285.71
LABELLE VYDS AND WINERY    ,146839.55,778.25,147617.8
LAIRD & CO                 ,203011.58000000002,1043.69,204055.27000000002
LATITUDE BEVERAGE COMPANY  ,316446.76,1610.0,318056.76
LAUREATE IMPORTS CO        ,140.94,0.72,141.66
LOYAL DOG WINERY           ,2320.8,10.680000000000001,2331.48
LUXCO INC                  ,2051436.01,10261.6,2061697.61
M S WALKER INC             ,10935817.3,55551.82,10991369.120000001
MAJESTIC FINE WINES        ,3506668.63,17587.59,3524256.2199999997
MANGO BOTTLING INC         ,204510.38,1034.42,205544.80000000002
MARSALLE COMPANY           ,185311.19,937.21,186248.4
MARTIGNETTI COMPANIES,27821473.91,144719.92,27966193.830000002
MARTIGNETTI COMPANIES ,40216.11,209.32,40425.43
MCCORMICK DISTILLING CO    ,310552.87,1567.85,312120.72
MHW LTD                    ,1888333.01,9621.58,1897954.59
MILTONS DISTRIBUTING CO    ,1824.1799999999998,9.46,1833.6399999999999
MOET HENNESSY USA INC      ,9472995.2,48347.26,9521342.459999999
MOONLIGHT MEADERY          ,71357.59,365.61,71723.2
NICHE W & S                ,111031.77,551.21,111582.98000000001
OLE SMOKY DISTILLERY LLC   ,387622.69,1922.0,389544.69
PALM BAY INTERNATIONAL INC ,2693984.33,13605.41,2707589.74
PARK STREET IMPORTS LLC    ,69459.42,360.28999999999996,69819.70999999999
PERFECTA WINES             ,5665501.53,28720.52,5694222.05
PERNOD RICARD USA          ,24124091.56,123780.22,24247871.779999997
PHILLIPS PRODUCTS CO.      ,430945.89,2211.83,433157.72000000003
PINE STATE TRADING CO      ,3129071.59,15884.82,3144956.4099999997
POVERTY LANE ORCHARDS      ,45269.01,229.88,45498.89
PREMIER DISTRIBUTORS       ,84530.87,432.37,84963.23999999999
"PREMIUM PORT WINES, INC.   ",59760.74,301.2,60061.939999999995
PROXIMO SPIRITS INC.       ,7588029.9,38994.78,7627024.680000001
PSP WINES ,128895.69,648.71,129544.40000000001
R.P.IMPORTS INC            ,18776.87,91.5,18868.37
REMY COINTREAU USA INC     ,3354958.28,16978.67,3371936.9499999997
Russian Standard Vodka     ,138907.27000000002,732.6,139639.87000000002
SAZERAC CO INC             ,9916770.26,50293.62,9967063.879999999
SAZERAC NORTH AMERICA INC. ,3537977.55,17932.33,3555909.88
SEA BREEZE CELLARS LLC     ,108948.09,549.55,109497.64
SEA HAGG DISTILLERY LLC    ,188044.46,935.52,188979.97999999998
SHAW ROSS INT L IMP LTD    ,624979.64,3151.92,628131.56
SIDNEY FRANK IMPORTING CO  ,1715908.88,8549.55,1724458.43
SILVER MOUNTAIN CIDERS     ,77.17999999999999,0.36,77.53999999999999
SMOKY QUARTZ DISTILLERY LLC,69803.70999999999,342.65,70146.35999999999
SOUTHERN GLAZERS W&S OF NE ,40803.92,207.76,41011.68
SOUTHERN WINE & SPIRITS NE ,3699813.46,18808.83,3718622.29
STAR INDUSTRIES INC.       ,2452.29,12.44,2464.73
STARK BREWING COMPANY      ,25961.04,130.09,26091.13
STATE WINE & SPIRITS   ,1529682.04,8014.98,1537697.02
STE MICHELLE WINE ESTATES  ,3086650.7,15919.7,3102570.4000000004
